mat_ID,material,x_sec,locs_left,locs_center,locs_right,Delta_x
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",10.51230000000002,10.65052500000002,10.78875000000002,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",10.78875000000002,10.92697500000002,11.06520000000002,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",11.06520000000002,11.20342500000002,11.34165000000002,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",11.34165000000002,11.383237500000021,11.424825000000022,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",11.424825000000022,11.466412500000022,11.508000000000022,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",11.508000000000022,11.549587500000023,11.591175000000023,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",11.591175000000023,11.632762500000023,11.674350000000024,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",11.674350000000024,11.812575000000024,11.950800000000024,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",11.950800000000024,12.089025000000024,12.227250000000025,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",12.227250000000025,12.365475000000025,12.503700000000025,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",12.503700000000025,12.641925000000025,12.780150000000026,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",12.780150000000026,12.821737500000026,12.863325000000026,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",12.863325000000026,12.904912500000027,12.946500000000027,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",12.946500000000027,12.988087500000027,13.029675000000028,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",13.029675000000028,13.071262500000028,13.112850000000028,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",13.112850000000028,13.251075000000029,13.389300000000029,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",13.389300000000029,13.527525000000029,13.66575000000003,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",13.66575000000003,13.80397500000003,13.94220000000003,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",13.94220000000003,14.08042500000003,14.21865000000003,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",14.21865000000003,14.26023750000003,14.301825000000031,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",14.301825000000031,14.343412500000031,14.385000000000032,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",14.385000000000032,14.426587500000032,14.468175000000032,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",14.468175000000032,14.509762500000033,14.551350000000033,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",14.551350000000033,14.689575000000033,14.827800000000034,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",14.827800000000034,14.966025000000034,15.104250000000034,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",15.104250000000034,15.242475000000034,15.380700000000035,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",15.380700000000035,15.518925000000035,15.657150000000035,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",15.657150000000035,15.698737500000036,15.740325000000036,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",15.740325000000036,15.781912500000036,15.823500000000037,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",15.823500000000037,15.865087500000037,15.906675000000037,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",15.906675000000037,15.948262500000038,15.989850000000038,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",15.989850000000038,16.128075000000038,16.266300000000037,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",16.266300000000037,16.404525000000035,16.542750000000034,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",16.542750000000034,16.680975000000032,16.81920000000003,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",16.81920000000003,16.95742500000003,17.095650000000028,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",17.095650000000028,17.137237500000026,17.178825000000025,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",17.178825000000025,17.220412500000023,17.26200000000002,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",17.26200000000002,17.30358750000002,17.34517500000002,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",17.34517500000002,17.386762500000017,17.428350000000016,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",17.428350000000016,17.566575000000014,17.704800000000013,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",17.704800000000013,17.84302500000001,17.98125000000001,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",17.98125000000001,18.11947500000001,18.257700000000007,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",18.257700000000007,18.395925000000005,18.534150000000004,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",18.534150000000004,18.575737500000002,18.617325,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",18.617325,18.6589125,18.700499999999998,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",18.700499999999998,18.742087499999997,18.783674999999995,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",18.783674999999995,18.825262499999994,18.866849999999992,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",18.866849999999992,19.00507499999999,19.14329999999999,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",19.14329999999999,19.281524999999988,19.419749999999986,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",19.419749999999986,19.557974999999985,19.696199999999983,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",19.696199999999983,19.83442499999998,19.97264999999998,0.27645000000000003
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",19.97264999999998,20.01423749999998,20.055824999999977,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",20.055824999999977,20.097412499999976,20.138999999999974,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",20.138999999999974,20.180587499999973,20.22217499999997,0.083175
0,water,"['0.2', '0.2', '1.666666667', '0.17', '0.03', '0', '0', '0', '0', '1.1', '1.1', '0.303030303', '1.1', '0', '0', '0', '0', '0']",20.22217499999997,20.26376249999997,20.30534999999997,0.083175
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",20.30534999999997,20.443574999999967,20.581799999999966,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",20.581799999999966,20.720024999999964,20.858249999999963,0.27645000000000003
1,U_fuel,"['0.2', '0.2', '1.666666667', '0.185', '0.015', '0', '0', '0', '1', '1', '1', '0.333333333', '0.8', '0', '0.2', '0.18', '1.4', '0']",20.858249999999963,20.99647499999996,21.13469999999996,0.27645000000000003
